day,pnl,low,high,trades,halted
2016-01-05,34.89,0.0,34.89,1,
2016-01-06,-173.05,-173.05,0.0,1,
2016-01-07,-217.05,-217.05,0.0,1,
2016-01-08,19.3,0.0,19.3,1,
2016-01-11,0.0,0.0,0.0,0,weekend skip
2016-01-12,80.0,0.0,80.0,1,
2016-01-13,10.41,0.0,10.41,1,
2016-01-14,47.8,0.0,47.8,1,
2016-01-15,-321.89,-321.89,0.0,1,
2016-01-19,0.0,0.0,0.0,0,weekend skip
2016-01-20,-176.05,-176.05,0.0,1,
2016-01-21,10.89,0.0,10.89,1,
2016-01-22,196.37,0.0,196.37,1,
2016-01-25,0.0,0.0,0.0,0,weekend skip
2016-01-26,37.51,0.0,37.51,1,
2016-01-27,-68.82,-68.82,0.0,1,
2016-01-28,96.88,0.0,96.88,1,
2016-01-29,34.9,0.0,34.9,1,
2016-02-01,0.0,0.0,0.0,0,weekend skip
2016-02-02,-145.12,-145.12,0.0,1,
2016-02-03,83.74,0.0,83.74,1,
2016-02-04,-56.16,-56.16,0.0,1,
2016-02-05,-63.07,-63.07,0.0,1,
2016-02-08,0.0,0.0,0.0,0,weekend skip
2016-02-09,-166.73,-166.73,0.0,1,
2016-02-10,68.85,0.0,68.85,1,
2016-02-11,-222.91,-222.91,0.0,1,
2016-02-12,99.96,0.0,99.96,1,
2016-02-16,0.0,0.0,0.0,0,weekend skip
2016-02-17,71.56,0.0,71.56,1,
2016-02-18,0.0,0.0,0.0,1,
2016-02-19,-51.62,-51.62,0.0,1,
2016-02-22,0.0,0.0,0.0,0,weekend skip
2016-02-23,-50.78,-50.78,0.0,1,
2016-02-24,-129.92,-129.92,0.0,1,
2016-02-25,12.99,0.0,12.99,1,
2016-02-26,53.82,0.0,53.82,1,
2016-02-29,0.0,0.0,0.0,0,weekend skip
2016-03-01,93.39,0.0,93.39,1,
2016-03-02,-21.73,-21.73,0.0,1,
2016-03-03,-6.79,-6.79,0.0,1,
2016-03-04,-7.84,-7.84,0.0,1,
2016-03-07,0.0,0.0,0.0,0,weekend skip
2016-03-08,-77.1,-77.1,0.0,1,
2016-03-09,35.0,0.0,35.0,1,
2016-03-10,24.71,0.0,24.71,1,
2016-03-11,88.32,0.0,88.32,1,
2016-03-14,0.0,0.0,0.0,0,weekend skip
2016-03-15,-78.93,-78.93,0.0,1,
2016-03-16,-69.98,-69.98,0.0,1,
2016-03-17,-34.76,-34.76,0.0,1,
2016-03-18,8.84,0.0,8.84,1,
2016-03-21,0.0,0.0,0.0,0,weekend skip
2016-03-22,-69.12,-69.12,0.0,1,
2016-03-23,-84.56,-84.56,0.0,1,
2016-03-24,-76.35,-76.35,0.0,1,
2016-03-28,19.03,0.0,19.03,1,
2016-03-29,-38.01,-38.01,0.0,1,
2016-03-30,55.46,0.0,55.46,1,
2016-03-31,8.7,0.0,8.7,1,
2016-04-01,-114.93,-114.93,0.0,1,
2016-04-04,0.0,0.0,0.0,0,weekend skip
2016-04-05,-97.97,-97.97,0.0,1,
2016-04-06,-11.01,-11.01,0.0,1,
2016-04-07,-94.73,-94.73,0.0,1,
2016-04-08,94.93,0.0,94.93,1,
2016-04-11,0.0,0.0,0.0,0,weekend skip
